id,log,created_at,time,from_user_id_str,user_followers_count,user_location,status_url,positivo_negativo
0,"RT @ag_bean3r: Yo nunca había entendido por que callo de hacha le tiraba tanto hate a AMLO hasta el día de hoy, yo en verdad creía que callo estaba del lado de contar la verdad, pero como siempre les digo uno no come de likes y ahora entiendo la razón de esas críticas https://t.co/Gu7Ktc7lPC",Sat May 25 23:59:59 +0000 2019,26/05/2019 00:59:59,8.808818130439373e+17,73.0,México,http://twitter.com/eromagus/statuses/1132436180744777728,0
1,@NachoRgz Sí verdad? Ni que Manuel Velasco estuviera actuando a favor de López Obrador. AMLO nunca de atrevería a siquiera cruzar palabra con él 🙄🙄🙄,Sat May 25 23:59:59 +0000 2019,26/05/2019 00:59:59,99153322.0,330.0,"México, D.F.",http://twitter.com/emovaz/statuses/1132436178899222528,0
2,"Ya renunció la secretaria de medio ambiente, la presidencia de amlo se cae a pedazos, el mundo se va a acabar si lis diji si lis ilvirtió. https://t.co/qzIVvmkqeL",Sat May 25 23:59:58 +0000 2019,26/05/2019 00:59:58,143116664.0,3536.0,CDMX,http://twitter.com/GabyZugar/statuses/1132436175493451782,0
3,"RT @politicomx: ""Nosotros tenemos que actuar con rectitud, cero nepotismo... ninguna de esas lacras de la política"": AMLO.
El presidente señaló que Josefa Gonzalez Blanco, extitular de Semarnat aceptó que cometió un error y por ello presentó su renuncia. 👇🏻 https://t.co/x1j1wgJaKO
📹: Milenio https://t.co/tHdmEFCXld",Sat May 25 23:59:55 +0000 2019,26/05/2019 00:59:55,144332729.0,181.0,,http://twitter.com/pakocisco/statuses/1132436164680593408,0
4,"RT @qtf: Contrato para Dos Bocas por 5 MMDP a Van Oord (consorcio holandés) y Grupo Madre Huerta (empresa creada hace 8 días).
Preside Consejo Manuel Santandreu. ¿Quién es? Busca red de corrupción obras de aguas Tabasco.
“La corrupción sólo cambió de nombres con AMLO”,
Fernanda Familiar",Sat May 25 23:59:55 +0000 2019,26/05/2019 00:59:55,449327368.0,20.0,"Nuevo León, MEXICO",http://twitter.com/Gerryknight/statuses/1132436163212369920,0
5,"#LoMasLeido Sacrificó AMLO a trabajadores de salud por el programa de becas, personal de Prospera ya no fue recontratado 😤 https://t.co/5b1ESgc5fM",Sat May 25 23:59:55 +0000 2019,26/05/2019 00:59:55,236602067.0,405540.0,"Puebla, Puebla, México",http://twitter.com/elsoldepuebla1/statuses/1132436161882972171,1
6,"RT @_trashumante: 1. El Reforma no es aliado de AMLO.
2. Ergo el Reforma no sacó la lista de chayoteros para hacerle ningún favor a AMLO por el desabasto de medicinas.
3. Lo que el Reforma no quiere es que se hable de la hija del dueño que es traficante de personas. #Nxivm

Amigas, dense cuenta.",Sat May 25 23:59:54 +0000 2019,26/05/2019 00:59:54,214591126.0,468.0,México DF,http://twitter.com/Herr_karl_mx/statuses/1132436158070317057,0
8,"RT @eleconomista: Josefa González Blanco Ortiz presenta su renuncia como titular de la #Semarnat.

https://t.co/tDFbGx85wN",Sat May 25 23:59:51 +0000 2019,26/05/2019 00:59:51,717010627.0,7912.0,México ,http://twitter.com/Joselchiva/statuses/1132436146435182593,0
9,"Lista de periodistas no está completa, acepta AMLO. https://t.co/I3Yw7mnQcP vía @YouTube",Sat May 25 23:59:50 +0000 2019,26/05/2019 00:59:50,252068052.0,1245.0,Bogotá,http://twitter.com/rgsosauriarte/statuses/1132436141758648320,0
10,"RT @TheBotZilla: Disculpen #HijasdelaMX porque tan calladas con el caso #NXIVM ?

Que no les importa lo que le pase a mujeres mexicanas?

Sé que esto no es de #AMLO

Pero se supone son un grupo que ve justamente por las mujeres

Esperemos escuchar pronto de ustedes, el silencio ya es incomodo",Sat May 25 23:59:48 +0000 2019,26/05/2019 00:59:48,8.754620177375109e+17,186.0,"Distrito Federal, México",http://twitter.com/lex19740627/statuses/1132436135463084032,1
12,"RT @JTrianaT: El gobierno recorta presupuesto al sector salud.

No hay dinero para medicinas, pero si hay dinero para pagarle contratos millonarios al superdelegado de AMLO en Jalisco, el empresario corrupto Carlos Lomelí.

#GatoXLiebre

Enlace al video completo 👇
https://t.co/XMgYUVm3ue https://t.co/KwatSVVsJQ",Sat May 25 23:59:46 +0000 2019,26/05/2019 00:59:46,104207940.0,130.0,Mexico D.F.,http://twitter.com/Aayamex/statuses/1132436124192923649,0
13,"Vulnerable, el programa de becas de AMLO https://t.co/DrO2tjfaIM",Sat May 25 23:59:46 +0000 2019,26/05/2019 00:59:46,329204143.0,24195.0,Ciudad de México,http://twitter.com/BicitlanRadio/statuses/1132436122972200961,0
15,"#AMLO regresando a la figura inconstitucional de las “Juanitas”, que inauguró el deleznable @partidoverdemex!",Sat May 25 23:59:42 +0000 2019,26/05/2019 00:59:42,58366195.0,502.0,Ciudad de México,http://twitter.com/EfrenChSotelo/statuses/1132436107914829825,0
